height,bank,bank unc
0,0.97075,0.00057
1,0.97095,0.00054
2,0.97172,0.0005
3,0.97186,0.00051
4,0.97206,0.00059
5,0.9716,0.00049
6,0.97252,0.0005
7,0.97253,0.00061
8,0.97216,0.00053
9,0.97197,0.0006
10,0.97357,0.00049
11,0.97186,0.00049
12,0.97369,0.00056
13,0.97441,0.00055
14,0.9737,0.00051
15,0.97474,0.00054
16,0.97503,0.00055
17,0.97552,0.0005
18,0.97611,0.0005
19,0.97518,0.00059
20,0.97707,0.00053
21,0.97685,0.00052
22,0.97677,0.00057
23,0.97888,0.00049
24,0.97985,0.00055
25,0.97933,0.00053
26,0.97927,0.00052
27,0.98089,0.00049
28,0.98177,0.00053
29,0.98061,0.00047
30,0.98159,0.00056
31,0.98238,0.00054
32,0.9847,0.00042
33,0.98477,0.00054
34,0.9855,0.00048
35,0.98662,0.00058
36,0.9892,0.00052
37,0.98749,0.00049
38,0.99018,0.00053
39,0.99111,0.00056
40,0.99041,0.00046
41,0.99154,0.00054
42,0.9926,0.00044
43,0.99342,0.00051
44,0.99345,0.0005
45,0.99442,0.00051
46,0.99669,0.00048
47,0.99768,0.00051
48,0.99688,0.00056
49,0.99884,0.00055
50,0.99805,0.00049
51,0.99976,0.00052
52,1.00142,0.00052
53,1.00233,0.0005
54,1.00302,0.00054
55,1.00409,0.00054
56,1.00412,0.00057
57,1.00529,0.00052
58,1.0062,0.00053
59,1.00708,0.0005
60,1.0077,0.00058
61,1.00902,0.00054
62,1.00944,0.00046
63,1.01039,0.00056
64,1.0122,0.00048
65,1.01181,0.00044
66,1.01322,0.00049
67,1.01405,0.00056
68,1.01435,0.0005
69,1.01521,0.00054
70,1.01432,0.0005
71,1.01683,0.00057
72,1.01826,0.00052
73,1.01785,0.0006
74,1.01781,0.00053
75,1.01841,0.00053
76,1.01959,0.00054
77,1.01922,0.00051
78,1.02055,0.00047
79,1.02044,0.00051
80,1.02073,0.00056
81,1.02047,0.00056
82,1.02221,0.00049
83,1.02297,0.00052
84,1.02352,0.00046
85,1.02331,0.00052
86,1.02406,0.0005
87,1.02379,0.00048
88,1.02452,0.00047
89,1.02521,0.00048
90,1.02563,0.00056
91,1.02552,0.00049
92,1.02684,0.00056
93,1.02731,0.00049
94,1.02608,0.0005
95,1.02675,0.00053
96,1.02762,0.00052
97,1.02821,0.00054
98,1.02722,0.0005
99,1.0278,0.00052
